date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:19:45	121/121	---MCZ	200	added ('OK')	text/plain	date:Sat,%2024%20Jun%202023%2019:19:45%20GMT	https://renewing-earwig.10web.site/robots.txt		(from )
15:19:46	381076/381076	---MCZ	200	added ('OK')	text/html	date:Sat,%2024%20Jun%202023%2019:19:46%20GMT	https://renewing-earwig.10web.site/	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/index.html	(from )
15:19:46	1404260/1404260	---MCZ	200	added ('OK')	text/css	etag:W/%2264973e33-156d64%22	https://renewing-earwig.10web.site/wp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min.css?date=1687633459	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-content/cache/tw_optimize/css/two_front_page_aggregated_5031697833a1b266bf9fe4d7a52cf38e_delay.min46eb.css	(from https://renewing-earwig.10web.site/)
15:19:48	92420/92420	---MCZ	200	added ('OK')	application/json	date:Sat,%2024%20Jun%202023%2019:19:47%20GMT	https://renewing-earwig.10web.site/wp-json/wp/v2/pages/62	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-json/wp/v2/pages/62.json	(from https://renewing-earwig.10web.site/)
15:19:48	1673/1673	---MC-	200	added ('OK')	application/rss+xml	etag:%22e2eb0eac11c33455ee67561c77e97c9c%22	https://renewing-earwig.10web.site/feed/	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/feed/index.html	(from https://renewing-earwig.10web.site/)
15:19:49	725/725	---MC-	200	added ('OK')	application/rss+xml	etag:%22e2eb0eac11c33455ee67561c77e97c9c%22	https://renewing-earwig.10web.site/comments/feed/	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/comments/feed/index.html	(from https://renewing-earwig.10web.site/)
15:19:49	210390/210390	---MCZ	200	added ('OK')	application/json	date:Sat,%2024%20Jun%202023%2019:19:47%20GMT	https://renewing-earwig.10web.site/wp-json/	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-json/index.html	(from https://renewing-earwig.10web.site/)
15:19:49	172/172	---M--	401	error ('Unauthorized')	text/html	date:Sat,%2024%20Jun%202023%2019:19:49%20GMT	https://renewing-earwig.10web.site/xmlrpc.php?rsd	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/xmlrpc0db0.php	(from https://renewing-earwig.10web.site/)
15:19:50	1045/1045	---MCZ	200	added ('OK')	text/xml	etag:W/%2264971b64-415%22	https://renewing-earwig.10web.site/wp-includes/wlwmanifest.xml	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-includes/wlwmanifest.xml	(from https://renewing-earwig.10web.site/)
15:19:50	2392/2392	---MCZ	200	added ('OK')	application/json	date:Sat,%2024%20Jun%202023%2019:19:50%20GMT	https://renewing-earwig.10web.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frenewing-earwig.10web.site%2F	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-json/oembed/1.0/embedf251.json	(from https://renewing-earwig.10web.site/)
15:19:50	2435/2435	---MCZ	200	added ('OK')	text/xml	date:Sat,%2024%20Jun%202023%2019:19:51%20GMT	https://renewing-earwig.10web.site/wp-json/oembed/1.0/embed?url=https%3A%2F%2Frenewing-earwig.10web.site%2F&format=xml	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-json/oembed/1.0/embed365a	(from https://renewing-earwig.10web.site/)
15:19:51	213952/213952	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2264971b7f-343c0%22	https://renewing-earwig.10web.site/wp-content/plugins/elementor/assets/lib/eicons/fonts/eicons.eot?5.20.0	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-content/plugins/elementor/assets/lib/eicons/fonts/eiconsb732.eot	(from https://renewing-earwig.10web.site/)
15:19:52	34034/34034	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2264971b7f-84f2%22	https://renewing-earwig.10web.site/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-regular-400.eot	(from https://renewing-earwig.10web.site/)
15:19:53	47873/47873	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2024%20Jun%202023%2019:19:54%20GMT	https://renewing-earwig.10web.site/GET	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/GET	(from https://renewing-earwig.10web.site/)
15:19:53	17190/17190	---M--	200	added ('OK')	image/webp	etag:%2264973e1c-4326%22	https://renewing-earwig.10web.site/wp-content/uploads/2023/06/aronpw-bC40m7skyFQ-unsplash-scaled.webp	C:/My%20Web%20Sites/20230624%2010web/10web/renewing-earwig.10web.site/wp-content/uploads/2023/06/aronpw-bC40m7skyFQ-unsplash-scaled.webp	(from https://renewing-earwig.10web.site/)
